Text_ID,Text_ID_1,Text_ID_2,Text_ID_3
1,1140012024,CU014001,C130003140012024
2,7000030241,CU000548,C130009000030241
3,7000030788,CU000548,C130009000030788
4,7000030373,CU000548,C130009000030373
5,7000030667,CU000548,C130009000030667
6,7415030007,CU000548,C130009415030007
7,7416030003,CU000548,C130009416030003
8,7000030802,CU000548,C130009000030802
9,7000030837,CU000548,C130009000030837
10,7000030907,CU000548,C130009000030907
11,7000031108,CU000548,C130009000031108
12,7000031377,CU000548,C130009000031377
13,7000031687,CU000548,C130009000031687
14,7000031717,CU000548,C130009000031717
